modelName,modelType,accuracy,lastUpdated,algorithmType
weight,Hybrid,93.32%,2024-01-10T14:48:43,Traditional
meeting,Numerical,80.70%,2024-03-31T23:17:19,AI
girl,Numerical,80.25%,2024-03-11T18:06:48,ML
hard,Hybrid,92.88%,2024-10-20T02:48:19,Traditional
manager,Numerical,84.09%,2024-10-17T03:41:44,Traditional
majority,Hybrid,98.54%,2024-04-13T01:03:47,Traditional
environmental,Statistical,96.91%,2024-06-24T01:41:33,Traditional
all,Numerical,96.43%,2024-08-19T08:56:16,Traditional
create,Numerical,83.16%,2024-06-23T05:29:34,AI
glass,Hybrid,89.28%,2024-03-18T18:16:11,Traditional
